mean,std,var,rms,delta,theta,alpha,beta,gamma
1.0864045072042957e-07,4.930811495870117e-05,2.4312902007804902e-09,4.930823464217739e-05,4.176645239811594e-10,6.549992589672031e-11,3.215707919772848e-11,1.0274493426466446e-11,3.230910358715213e-12
2.636955319727776e-07,4.930658931094012e-05,2.4311397494777147e-09,4.930729443815892e-05,3.9932376894806166e-10,7.453034690886467e-11,4.15928076942851e-11,1.1351398509802687e-11,2.76474753496864e-12
1.2761251940298315e-07,5.009143575542397e-05,2.509151936039767e-09,5.0091598307449474e-05,4.153193029075593e-10,8.203929566743496e-11,3.995256909084353e-11,1.1175875952669604e-11,2.529150357975445e-12
2.4954183456897388e-09,5.021597679515512e-05,2.521644325491558e-09,5.021597685715842e-05,4.131150616586977e-10,8.610352676652225e-11,3.870114358554203e-11,1.1127320005572117e-11,2.4939606302583318e-12
2.8557917819424687e-07,4.852929390998323e-05,2.3550923674015353e-09,4.853013417319752e-05,3.9229993691758147e-10,7.506185631456927e-11,3.6343491234220365e-11,9.999726587802836e-12,2.3176050631659348e-12
4.50645360939214e-07,4.432871871183511e-05,1.965035302633e-09,4.433100928102513e-05,3.3406248462991566e-10,5.47865600858861e-11,3.2678518677476206e-11,8.415139837975594e-12,2.1364227585612986e-12
4.773381395297859e-07,3.9013969613461326e-05,1.5220898250000836e-09,3.901688963384361e-05,2.7017964543190477e-10,3.491444554301049e-11,2.026951573365447e-11,6.5586070747520106e-12,2.6370802093869385e-12
2.4388302016764924e-07,4.3882558528544416e-05,1.925678943011126e-09,4.38832362290961e-05,2.96918715053338e-10,6.246225384967406e-11,3.5385635708324795e-11,1.103065117752468e-11,3.5848662364966425e-12
2.5127113928269815e-07,4.5851536768556996e-05,2.102363424038334e-09,4.585222525923655e-05,3.297146360459777e-10,6.822109473022795e-11,4.2362521601464243e-11,1.0896412964961388e-11,2.6841106346252993e-12
2.0054478078373195e-07,4.710472599522386e-05,2.218855211085118e-09,4.710515289534912e-05,3.587002373366527e-10,7.554507830925358e-11,3.642567581115499e-11,1.0247383622938918e-11,2.404030117192239e-12
7.999335784860817e-08,4.789693586703524e-05,2.294116465450887e-09,4.789700266601436e-05,3.767092088685928e-10,7.88820901698927e-11,3.3751074499844377e-11,1.0063960226076855e-11,2.5813538293636006e-12
1.2091458801887786e-07,4.64773506954691e-05,2.160144127669622e-09,4.647750797974455e-05,3.575554549905547e-10,6.701041483013965e-11,3.2440454668296094e-11,9.222794742314591e-12,2.292950028922288e-12
2.9052495763284687e-07,4.046469537231714e-05,1.6373915715744242e-09,4.0465738301993604e-05,2.7052437940737093e-10,4.758456300502674e-11,2.844135116430402e-11,7.792953798563548e-12,2.113655022501189e-12
3.274308121369292e-07,3.3728978729401757e-05,1.1376440061284362e-09,3.373056799203318e-05,1.868109890355447e-10,2.9313067964824235e-11,1.7332979408423776e-11,6.593165052705963e-12,2.4788479343641148e-12
3.7066927294212407e-07,4.262587046642414e-05,1.8169648330203699e-09,4.262748208292713e-05,2.72647819076768e-10,6.217664052210022e-11,3.639761589426048e-11,1.1629870335309402e-11,3.1170222425858684e-12
3.3041041761067527e-07,4.4879531489395844e-05,2.0141723467076733e-09,4.4880747740559524e-05,3.1509077672185144e-10,6.54549643711532e-11,3.8827505199473193e-11,1.1354954107675092e-11,2.4516658178942716e-12
2.5645158782995855e-07,4.657080386388552e-05,2.168839772528495e-09,4.657150995990354e-05,3.527983511424831e-10,6.884205836048004e-11,3.643623655903513e-11,1.0834331486759397e-11,2.4109595576588934e-12
1.6276560011302373e-07,4.6928157184002287e-05,2.202251936686425e-09,4.692843945122196e-05,3.691086080067608e-10,6.69779882652958e-11,3.3732700990734935e-11,1.0208960144267603e-11,2.3823418290019967e-12
2.727645000012347e-07,4.4342817437106445e-05,1.966285458260551e-09,4.434365635277511e-05,3.2888831973803686e-10,5.872145043376625e-11,3.11872852437398e-11,9.315540520649802e-12,2.0947178279986054e-12
2.8488818271287826e-07,4.132184792432335e-05,1.707495115880906e-09,4.132282997517904e-05,2.8190771648168734e-10,5.0564853889719055e-11,2.9614068484618255e-11,8.9075285444844e-12,1.9682244505239567e-12
3.2962026221119057e-07,3.5440172903056e-05,1.256005855398505e-09,3.544170572807924e-05,2.0412816399552878e-10,3.518663819439152e-11,2.1866713675884755e-11,7.029820463660369e-12,1.80018586004111e-12
2.507320946444463e-07,9.438324261774663e-05,8.908196487040423e-09,9.438357565606269e-05,1.876372089187211e-09,1.1683553202219578e-10,2.9878601591473886e-11,9.304075354433793e-12,6.15286064113565e-12
2.5845307101839545e-07,8.394655880078653e-05,7.04702473449391e-09,8.394695666004712e-05,1.504130113361005e-09,8.627225932814976e-11,2.6764465156025478e-11,7.056417238810735e-12,2.727559100956953e-12
2.7625388108156377e-07,9.038130938102807e-05,8.168781085429111e-09,9.038173157024557e-05,1.7617418160170596e-09,8.656603668604665e-11,2.6159965552621792e-11,6.814730501635615e-12,2.8340059880068837e-12
4.769350787099508e-07,8.556035833796199e-05,7.320574918920463e-09,8.556168760601773e-05,1.5183977193682264e-09,1.10174874496237e-10,3.063503446022184e-11,1.0374403899655169e-11,4.823367432573564e-12
